Plant line,Date,Time,Digital biomass,Greenness,Plant height,Hue,Leaf angle,Leaf area,Leaf area index,Projected leaf area,Leaf inclination,Light penetration depth,NDVI,NPCI,PSRI
10-03-01 AM,2019_7_1,12-28-20 PM,16519400,0.34917,535.28,104.604,55.421,30861.2,0.193,25173.2,1.21454,317.304,0.65179,0.22091,0.06805
10-03-01 AM,2019_7_2,12-28-23 PM,16878400,0.36734,471.403,102.84,49.006,35804.7,0.224,26851.7,1.32486,242.128,0.6383,0.26067,0.0784
10-03-01 AM,2019_7_3,11-56-11 AM,19059600,0.3677,482.011,100.127,59.62,39541.9,0.247,33667.7,1.15915,251.455,0.62043,0.28289,0.09796
10-04-01 AM,2019_6_8,11-43-43 AM,2078610,0.3592,183.415,104.911,59.539,11332.8,0.071,9766.01,1.16011,35.338,0.63312,0.21886,0.07313
10-04-01 AM,2019_6_9,11-43-47 AM,2691500,0.33707,203.659,105.958,51.566,13215.7,0.083,10245,1.27659,56.415,0.63095,0.20474,0.06707
10-04-01 AM,2019_6_10,11-43-51 AM,3125190,0.36244,208.674,104.149,60.589,14976.4,0.094,12921,1.14794,72.184,0.65699,0.22959,0.06974
10-04-01 AM,2019_6_11,11-43-55 AM,3976390,0.32693,223.644,106.341,60.766,17780,0.111,15446.5,1.14595,74.026,0.64463,0.18428,0.06017
10-04-01 AM,2019_6_12,11-43-58 AM,4507690,0.3556,242.554,104.139,60.881,18584.3,0.116,16168.4,1.14467,67.752,0.65862,0.22424,0.06884
10-04-01 AM,2019_6_13,11-44-02 AM,5796840,0.33193,255.714,106.678,64.643,22669.3,0.142,20440.9,1.10661,73.031,0.64659,0.17914,0.05915
10-04-01 AM,2019_6_14,11-44-06 AM,8356990,0.33715,315.626,105.463,59.234,26477.5,0.165,22665.8,1.16378,122.085,0.65101,0.19804,0.06236
10-04-01 AM,2019_6_15,11-44-09 AM,7800250,0.33123,342.962,105.643,47.261,22743.8,0.142,16708.4,1.36153,169.73,0.64606,0.19996,0.063
10-04-01 AM,2019_6_16,11-44-14 AM,8786060,0.34418,365.076,104.331,45.859,24066.4,0.15,17195.3,1.39345,171.855,0.64548,0.22614,0.06891
10-04-01 AM,2019_6_17,11-44-17 AM,9074670,0.33988,356.916,103.702,53.317,25425.3,0.159,20367,1.24694,155.377,0.63437,0.21916,0.07293
10-04-01 AM,2019_6_18,11-44-21 AM,12110600,0.35386,406.615,103.705,50.496,29783.9,0.186,22991.8,1.29601,199.744,0.64344,0.23187,0.07232
10-04-01 AM,2019_6_19,11-52-15 AM,15172700,0.33779,424.836,104.744,56.416,35714.2,0.223,29285.1,1.20035,256.183,0.64962,0.2062,0.06461
10-04-01 AM,2019_6_20,11-52-19 AM,18656300,0.35851,492.441,104.572,56.473,37885.4,0.237,31272.3,1.19956,304.35,0.6586,0.21657,0.06642
10-04-01 AM,2019_6_21,11-52-23 AM,12024600,0.3245,369.844,106.623,62.398,32512.5,0.203,28405.3,1.12842,222.632,0.65773,0.17252,0.05296
10-04-01 AM,2019_6_22,11-52-27 AM,17597400,0.316,425.339,107.031,60.062,41372.7,0.259,33800.3,1.15397,253.405,0.65121,0.16834,0.05373
10-04-01 AM,2019_6_23,11-52-31 AM,18205700,0.31833,393.304,107.011,63.953,46289.1,0.289,41361.4,1.11304,242.234,0.67276,0.16355,0.04709
10-04-01 AM,2019_6_24,10-50-58 AM,27495400,0.38491,492.652,103.51,50.656,55810.9,0.349,42262.6,1.29305,303.983,0.6858,0.26528,0.06831
10-04-01 AM,2019_6_25,10-50-17 AM,37015400,0.3398,599.566,106.264,62.133,61736.9,0.386,53062.4,1.13117,391.047,0.65319,0.1744,0.05632
10-04-01 AM,2019_6_26,10-50-21 AM,34355500,0.34358,614.908,105.109,60.622,55870.9,0.349,46731.8,1.14757,368.453,0.64995,0.19634,0.06254
10-04-01 AM,2019_6_27,12-28-26 PM,36976800,0.37884,612.587,103.72,57.903,60361.8,0.377,49695.1,1.18042,311.534,0.65249,0.22324,0.07181
10-04-01 AM,2019_6_28,12-28-08 PM,41182300,0.37885,607.658,102.354,51.415,67772.2,0.424,51536.9,1.27927,286.931,0.6451,0.24887,0.08061
10-04-01 AM,2019_6_29,12-28-12 PM,39148400,0.39434,625.708,103.021,56.281,62566.6,0.391,51291.5,1.20224,267.352,0.6405,0.25015,0.08365
10-04-01 AM,2019_6_30,12-28-15 PM,46318300,0.38746,619.236,103.309,50.598,74799.2,0.467,56056,1.29412,269.482,0.64535,0.24009,0.07744
10-04-01 AM,2019_7_1,12-28-20 PM,40673900,0.40233,609.878,102.663,51.48,66691.9,0.417,51355.6,1.27811,215.676,0.64121,0.26697,0.08758
10-04-01 AM,2019_7_2,12-28-23 PM,28151100,0.39741,590.265,102.436,53.138,47692.4,0.298,37416.9,1.24985,246.819,0.63983,0.28309,0.0911
10-04-01 AM,2019_7_3,11-56-11 AM,46275000,0.40119,567.959,100.424,59.566,81476,0.509,68693.2,1.15979,188.742,0.60742,0.29682,0.11191
10-05-01 AM,2019_6_8,11-43-43 AM,504405,0.3467,117.488,104.767,58.604,4293.26,0.027,3665.48,1.17152,45.054,0.61672,0.21526,0.07738
10-05-01 AM,2019_6_9,11-43-47 AM,769628,0.33389,136.281,107.611,51.479,5647.35,0.035,4421.83,1.27814,60.964,0.62838,0.18063,0.06279
10-05-01 AM,2019_6_10,11-43-51 AM,1009020,0.36776,136.856,102.676,66.965,7372.84,0.046,6768.21,1.08663,11.815,0.63657,0.24914,0.08089
10-05-01 AM,2019_6_11,11-43-55 AM,1279270,0.33606,149.776,104.862,62.463,8541.24,0.053,7581.59,1.12776,28.645,0.62819,0.20341,0.06914
10-05-01 AM,2019_6_12,11-43-58 AM,1507500,0.36086,165.311,102.706,62.814,9119.18,0.057,8110.76,1.12419,31.153,0.65422,0.249,0.07438
10-05-01 AM,2019_6_13,11-44-02 AM,1635810,0.32586,165.892,106.198,64.666,9860.65,0.062,8897.45,1.1064,57.091,0.64137,0.18869,0.06132
10-05-01 AM,2019_6_14,11-44-06 AM,1924480,0.33136,196.084,104.135,62.859,9814.58,0.061,8718.74,1.12374,73.995,0.64041,0.21252,0.06946
10-05-01 AM,2019_6_15,11-44-09 AM,1964510,0.32479,222.693,105.279,48.134,8821.58,0.055,6550.37,1.34278,86.32,0.62862,0.20564,0.07056
10-05-01 AM,2019_6_16,11-44-14 AM,2267720,0.31568,235.308,106.128,46.53,9637.23,0.06,6978.69,1.37787,90.744,0.63354,0.18935,0.06183
10-05-01 AM,2019_6_17,11-44-17 AM,2790160,0.31293,243.509,105.94,48.628,11458.2,0.072,8596.33,1.33253,136.896,0.62132,0.19311,0.06661
10-05-01 AM,2019_6_18,11-44-21 AM,3852100,0.32614,271.416,105.447,46.116,14192.6,0.089,10245.9,1.38743,141.818,0.62948,0.21368,0.06927
